date,close,open,high,low
2024-05-29,16920.58,16879.35,16989.60,16873.97
2024-05-30,16737.08,16878.63,16900.46,16690.36
2024-05-31,16735.02,16771.90,16789.27,16445.54
2024-06-03,16828.67,16865.70,16909.89,16646.43
2024-06-04,16857.05,16823.88,16891.87,16750.39
2024-06-05,17187.90,16974.48,17187.92,16955.56
2024-06-06,17173.12,17204.87,17235.73,17123.59
2024-06-07,17133.13,17124.14,17229.31,17090.04
2024-06-10,17192.53,17083.45,17213.45,17057.34
2024-06-11,17343.55,17160.42,17345.05,17107.99
2024-06-12,17608.44,17502.15,17725.39,17490.64
2024-06-13,17667.56,17715.26,17741.80,17566.32
2024-06-14,17688.88,17621.18,17693.43,17590.80
2024-06-17,17857.02,17697.30,17935.99,17636.36
2024-06-18,17862.23,17856.76,17890.52,17796.88
2024-06-20,17721.59,17913.94,17936.79,17650.69
2024-06-21,17689.36,17681.01,17787.34,17620.57
2024-06-24,17496.82,17640.26,17730.12,17494.02
2024-06-25,17717.65,17572.16,17734.34,17546.63
2024-06-26,17805.16,17697.26,17813.55,17687.07
2024-06-27,17858.68,17793.95,17892.78,17765.42
2024-06-28,17732.60,17891.10,18035.00,17723.83
2024-07-01,17879.30,17773.90,17894.28,17657.64
2024-07-02,18028.76,17808.04,18031.29,17802.24
2024-07-03,18188.30,18016.12,18188.30,18016.12
2024-07-05,18352.76,18200.60,18366.31,18197.14
2024-07-08,18403.74,18371.86,18416.94,18342.60
2024-07-09,18429.29,18465.02,18511.89,18381.60
2024-07-10,18647.45,18512.09,18655.19,18467.58
2024-07-11,18283.41,18659.25,18671.07,18238.78
2024-07-12,18398.45,18303.64,18556.73,18293.60
2024-07-15,18472.57,18485.91,18641.53,18397.83
2024-07-16,18509.34,18534.27,18576.83,18386.07
2024-07-17,17996.92,18188.19,18223.24,17972.87
2024-07-18,17871.22,18119.15,18130.87,17759.54
2024-07-19,17726.94,17835.59,17935.14,17691.43
2024-07-22,18007.57,17923.65,18040.99,17839.76
2024-07-23,17997.35,17982.74,18128.38,17968.10
2024-07-24,17342.41,17733.91,17747.06,17313.52
2024-07-25,17181.72,17352.64,17544.46,17033.96
2024-07-26,17357.88,17331.95,17454.57,17239.99
2024-07-29,17370.20,17444.39,17535.32,17299.83
2024-07-30,17147.42,17424.10,17468.56,17015.38
2024-07-31,17599.40,17499.23,17693.98,17438.60
2024-08-01,17194.15,17647.03,17791.58,17051.42
2024-08-02,16776.16,16780.45,16920.63,16582.79
2024-08-05,16200.08,15712.53,16453.46,15708.54
2024-08-06,16366.85,16261.36,16620.31,16137.65
2024-08-07,16195.81,16622.31,16709.81,16179.53
2024-08-08,16660.02,16408.27,16694.25,16262.93
2024-08-09,16745.30,16636.52,16789.22,16574.57
2024-08-12,16780.61,16793.64,16895.79,16699.39
2024-08-13,17187.61,16944.74,17192.79,16943.95
2024-08-14,17192.60,17227.64,17260.73,17032.17
2024-08-15,17594.50,17394.55,17602.72,17375.41
2024-08-16,17631.72,17516.40,17674.65,17502.82
2024-08-19,17876.77,17649.74,17877.44,17585.58
2024-08-20,17816.94,17849.09,17932.53,17758.20
2024-08-21,17918.99,17840.51,17963.07,17790.98
2024-08-22,17619.35,17993.72,18017.69,17589.15
